iteration,episode_reward_mean,episode_len_mean,policy_loss,vf_loss,total_loss,entropy
41,133.5937489661457,258.02,-0.09822146127621333,9.792758277257283,9.71121000289917,4.045121771494547
42,147.5737866609028,275.6,-0.07226414827009042,9.796995248794556,9.748227202097574,3.760772156715393
43,149.90454108420974,278.02,-0.08007651191204786,9.54406848271688,9.488116156260173,4.357860995928447
44,145.2014675758847,273.79,-0.06554932408034801,8.60408962249756,8.550950174331666,4.946787961324056
45,152.6895407165397,283.71,-0.05721730041628083,9.013969008127848,8.986303707758585,4.4447361183166505
46,159.8786037069463,294.16,-0.06801366724073887,9.810301014582317,9.767373797098795,4.243235909144084
47,163.05745916836585,299.7,-0.06250579689939817,9.006040139198303,8.963086942036947,4.147871058781941
48,163.08302773824073,300.79,-0.053691187053918836,8.904874618848165,8.867026561101278,4.768776969909668
49,170.75166953007144,310.29,-0.04883298557251692,9.07203326066335,9.03961475690206,4.7362022272745765
50,171.69740273349336,307.12,-0.07903672280410926,9.47666745821635,9.412543929417929,4.506728661855062
51,175.70020193663487,311.22,-0.08482854329049587,9.195507346789043,9.137275552749633,4.439965097109477
52,177.9305505802073,313.67,-0.06814835394422213,9.07912244240443,9.036609977086385,4.141969289779663
53,170.23297242723964,304.02,-0.07888083815574647,9.459849311510721,9.400829861958822,4.825834137598673
54,183.8783537196075,315.63,-0.04113924006621043,9.409795134862264,9.402091957728068,4.5200891749064125
55,183.26560530756944,313.67,-0.07531007803976536,9.250227915445963,9.192757323582967,4.677642566363017
56,169.91603984186813,286.76,-0.04227618823448817,8.617621150016785,8.620632597605388,4.8043086687723795
57,162.2862713959521,274.68,-0.08386616310104728,8.980792179107667,8.906616557439168,5.177780679066976
58,157.05554386797021,265.52,-0.08289954269925753,8.718877178827922,8.647722069422404,4.71333680152893
59,147.44567346844735,250.42,-0.061318361709515254,9.070702266693115,9.021524651845295,4.5526567141215
60,161.65417896815933,263.2,-0.0672385345896085,9.35944587389628,9.309776175816854,3.911760657628377
61,168.55441662566002,269.56,-0.08154071946938833,9.931779378255209,9.870308526357015,3.8715386120478312
62,183.18921352639387,280.23,-0.07213443801583101,9.862538464864095,9.80609400431315,3.8173429648081463
63,207.87373531228837,299.72,-0.1022834554935495,9.883832588195801,9.798511219024657,3.8096223799387614
64,207.60812577366352,298.14,-0.08364124561349551,9.91303637822469,9.846184050242107,3.8962535778681437
65,219.97306520695167,314.43,-0.056927933432161806,9.56217677116394,9.530694147745768,3.876474911371867
